describle,evaluate,introduce,movie_name,serial_number,star
经典之作，历久弥新。,207863人评价,,大闹天宫,59,9.3
童话世界的开端。,506017人评价,,哈利·波特与魔法石,60,8.9
海豚的微笑，是世界上最高明的伪装。,255695人评价,,海豚湾,61,9.3
音乐能化解仇恨。,309156人评价,,钢琴家,62,9.1
在时间之河里感受溺水之苦。,608930人评价,,本杰明·巴顿奇事,63,8.9
暗恋的极致。,568804人评价,,情书,64,8.9
视觉革命。,461782人评价,,黑客帝国,65,8.9
你以为你以为的就是你以为的。,680349人评价,,看不见的客人,66,8.8
你给我翻译翻译，神马叫做TMD的惊喜。,989586人评价,,让子弹飞,67,8.8
美丽无罪。,586616人评价,,西西里的美丽传说,68,8.8
奔跑的孩子是天使。,233345人评价,,小鞋子,69,9.2
美利坚精神输出大片No1.,390627人评价,,拯救大兵瑞恩,70,9.0
骗子大师和执著警探的你追我跑故事。 ,441634人评价,,猫鼠游戏,71,8.9
往事如烟，无处祭奠。,260374人评价,,美国往事,72,9.2
用音乐化解仇恨，让歌声串起美好。,361793人评价,,音乐之声,73,9.0
孪生蝙蝠侠大战克隆金刚狼。,522440人评价,,致命魔术,74,8.8
警察抓小偷，老鼠玩死猫。,619363人评价,,七宗罪,75,8.8
故事的高级讲法。,520799人评价,,低俗小说,76,8.8
对我们国家而言，这样的电影多一部是一部。,1260043人评价,,我不是药神,77,9.0
以戏谑来戏谑戏谑。,468332人评价,,被嫌弃的松子的一生,78,8.9
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,280274人评价,,穿条纹睡衣的男孩,79,9.1
安东尼·霍普金斯的顶级表演。,521014人评价,,沉默的羔羊,80,8.8
人的命运被自己瞬间的抉择改变。,575076人评价,,蝴蝶效应,81,8.8
爱情纠缠，男女一致。,387796人评价,,春光乍泄,82,8.9
人生中应该拥有这样的一段豁然开朗。,424296人评价,,心灵捕手,83,8.9
史诗大片的典范。,401772人评价,,勇敢的心,84,8.9
昔日翩翩少年，今日大腹便便。,567016人评价,,禁闭岛,85,8.8
法式小清新。 ,683391人评价,,天使爱美丽,86,8.7
浪漫忧郁的成人童话。,705303人评价,,剪刀手爱德华,87,8.7
小清新的故事里注入了大历史的情怀。,530257人评价,,布达佩斯大饭店,88,8.8
绝对意义上的美轮美奂。,827827人评价,,阿凡达,89,8.7
大时代中的人生，小人物的悲喜。,160532人评价,,摩登时代,90,9.3
约翰尼·德普的独角戏。,546818人评价,,加勒比海盗,91,8.7
人与自然的战争史诗。,348802人评价,,幽灵公主,92,8.9
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,413449人评价,,入殓师,93,8.8
最不可能的那个人永远是最可能的。,476238人评价,,致命ID,94,8.8
每个人心中都有一座断背山。,470000人评价,,断背山,95,8.8
一场华丽的意淫。,396265人评价,,阳光灿烂的日子,96,8.8
我是一个演员。,548586人评价,,喜剧之王,97,8.7
寂寞没有期限。,493368人评价,,重庆森林,98,8.7
深入内心的恐怖，出人意料的结局。,340703人评价,,第六感,99,8.8
人言可畏。,207034人评价,,狩猎,100,9.1
你是我最好的朋友，你是我唯一的朋友 。,299309人评价,,玛丽和马克思,101,8.9
如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,167209人评价,,海蒂和爷爷,102,9.2
关于连环杀人悬案的集体回忆。,364741人评价,,杀人回忆,103,8.8
年度最佳date movie。,552348人评价,,消失的爱人,104,8.7
那些静得只能听见呼吸的日子里，你明白孤独即生活。,242063人评价,,小森林 夏秋篇,105,9.0
没有一人完全善，也没有一人完全恶。,486389人评价,,告白,106,8.7
沉醉在电影的情感和视听氛围中无法自拔。,353087人评价,,请以你的名字呼唤我,107,8.8
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,364708人评价,,大鱼,108,8.8
我们都曾经是一一。,218728人评价,,一一,109,9.0
缘分是个连绵词，最美不过一瞬。,344979人评价,,爱在黎明破晓前,110,8.8
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,396413人评价,,阳光姐妹淘,111,8.8
梦的勾结。,225991人评价,,红辣椒,112,9.0
百看不厌。 ,402662人评价,,射雕英雄传之东成西就,113,8.7
少女情怀总是诗。,271755人评价,,侧耳倾听,114,8.9
相逢只要一瞬间，等待却像是一辈子。,320582人评价,,甜蜜蜜,115,8.8
《我是山姆》的《美丽人生》。,298518人评价,,7号房的礼物,116,8.8
两张绝世的脸。 ,424167人评价,,倩女幽魂,117,8.7
和谐的生活离不开摸头与被摸头。,461484人评价,,驯龙高手,118,8.7
10年的完美句点。,432846人评价,,哈利·波特与死亡圣器(下),119,8.8
穷尽一生，我们要学会的，不过是彼此拥抱。,272823人评价,,超脱,120,8.9
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,209864人评价,,小森林 冬春篇,121,9.0
恐怖分子的“秋菊打官司”。,371101人评价,,恐怖直播,122,8.8
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,302854人评价,,菊次郎的夏天,123,8.8
诺兰就是保证。,438712人评价,,蝙蝠侠：黑暗骑士崛起,124,8.7
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,300879人评价,,爱在日落黄昏时,125,8.8
触不到的恋人。,281452人评价,,萤火之森,126,8.8
华太师是黄霑，吴镇宇四大才子之一。,585767人评价,,唐伯虎点秋香,127,8.6
有时候幸福需要等一等。 ,325894人评价,,幸福终点站,128,8.8
动画片的圣经。,254348人评价,,风之谷,129,8.8
Balalala~~~,598959人评价,,超能陆战队,130,8.6
曾经的那段美好会沉淀为一辈子的记忆。,323883人评价,,借东西的小人阿莉埃蒂,131,8.8
被上帝抛弃了的上帝之城。,207561人评价,,上帝之城,132,8.9
Mr. I Don't Care其实也有Care的时候。,604055人评价,,神偷奶爸,133,8.6
我的平常生活就是他人的幸福。,146332人评价,,无人知晓,134,9.1
不要给它起名字，起了名字就有感情了。,383447人评价,,怪兽电力公司,135,8.7
跨度十五年的欢乐与泪水。,296383人评价,,玩具总动员3,136,8.8
真相就在眼前。,305670人评价,,电锯惊魂,137,8.7
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,498877人评价,,血战钢锯岭,138,8.7
岁月流逝，来日可追。,409060人评价,,岁月神偷,139,8.7
像吃了苏打饼一样干脆的电影。,267393人评价,,谍影重重3,140,8.8
英雄泪短，兄弟情长。 ,296682人评价,,英雄本色,141,8.7
中国家庭的喜怒哀乐忍。,206299人评价,,喜宴,142,8.9
老少皆宜，这就是好莱坞动画的魅力。,543151人评价,,疯狂原始人,143,8.7
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,321768人评价,,时空恋旅人,144,8.7
爱是摈弃傲慢与偏见之后的曙光。,452575人评价,,傲慢与偏见,145,8.6
时代悲歌。,114325人评价,,七武士,146,9.2
坏人的好总是比好人的好来得更感人。,135945人评价,,完美的世界,147,9.1
幸福是生生不息，却难以触及的远。 ,283933人评价,,萤火虫之墓,148,8.7
电影诗。,380779人评价,,东邪西毒,149,8.6
爱，是个动词。,446239人评价,,真爱至上,150,8.6
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,513326人评价,,贫民窟的百万富翁,151,8.6
任何信念的力量，都无法改变命运。,203524人评价,,教父3,152,8.8
香港浪漫主义警匪动作片的巅峰之作。,241442人评价,,纵横四海,153,8.8
一个针管引发的血案。,388334人评价,,记忆碎片,154,8.6
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,290004人评价,,心迷宫,155,8.7
黑暗之美。,569733人评价,,黑天鹅,156,8.5
热血沸腾，那个低俗、性感的无耻混蛋又来了。,377181人评价,,被解救的姜戈,157,8.7
怼天怼地，你走后，她与世界为敌。,521776人评价,,三块广告牌,158,8.7
始于荒诞，止于更荒诞。,238568人评价,,荒蛮故事,159,8.8
Jared Leto的腿比女人还美！,277759人评价,,达拉斯买家俱乐部,160,8.8
偷情本没有这样美。,352219人评价,,花样年华,161,8.6
想你时你在闹海。,141566人评价,,哪吒闹海,162,9.0
爱并不需要智商 。,170005人评价,,我是山姆,163,8.9
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,277130人评价,,雨人,164,8.7
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,809874人评价,,你的名字。,165,8.4
当这个世界闭上双眼，他却敞开了怀抱。,169208人评价,,卢旺达饭店,166,8.9
愿我们都不用长大，每一座城堡都能永远存在。,357954人评价,,头脑特工队,167,8.7
感情不分食草或者食肉。,212007人评价,,你看起来好像很好吃,168,8.8
我们都有权利不与自己的过去和解。,308495人评价,,海边的曼彻斯特,169,8.6
迪士尼和皮克斯拿错剧本的产物。,323428人评价,,无敌破坏王,170,8.7
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,402785人评价,,恋恋笔记本,171,8.5
传奇的年代，醉人的童话。,103072人评价,,天书奇谭,172,9.2
松鼠才是角儿。,397338人评价,,冰川时代,173,8.5
好的剧本是，就算你猜到了结局也猜不到全部。,157518人评价,,未麻的部屋,174,8.9
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,372669人评价,,模仿游戏,175,8.6
写给影迷，动漫迷和游戏迷的一封情书。,873926人评价,,头号玩家,176,8.7
惠及一生的美丽。,210284人评价,,一个叫欧维的男人决定去死,177,8.8
有一些东西不应该被遗忘。,180138人评价,,二十二,178,8.7
养狗三日，便会对你终其一生。,104567人评价,,忠犬八公物语,179,9.1
永远看不腻的喜剧。,146907人评价,,虎口脱险,180,8.9
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,338709人评价,,爆裂鼓手,181,8.7
警恶惩奸，维护世界和平这个任务就交给你了，好吗？,510330人评价,,功夫,182,8.4
骨灰级歌舞片。,130354人评价,,雨中曲,183,9.0
大海啊，不全是水。,119314人评价,,海洋,184,9.1
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,240932人评价,,黑客帝国3：矩阵革命,185,8.7
对爱的执着，可以超越一切。,270511人评价,,人工智能,186,8.6
,827355人评价,,绿皮书,187,8.9
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,241645人评价,,房间,188,8.8
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,293475人评价,,魔女宅急便,189,8.6
传奇，不是每个人都可以拥有。,192017人评价,,燃情岁月,190,8.8
是枝裕和的家庭习作。,228334人评价,,海街日记,191,8.7
不要企图在重复中寻找已经失去的爱。,482293人评价,,恐怖游轮,192,8.4
爱上未来的你。 ,261805人评价,,穿越时空的少女,193,8.6
中国式内在的美国电影。,171180人评价,,魂断蓝桥,194,8.8
故事的反转与反转，分裂电影的始祖。,134811人评价,,惊魂记,195,8.9
人生的N种可能性。,184839人评价,,罗生门,196,8.8
不可猜的青春迷笛。 ,314530人评价,,猜火车,197,8.5
来啊，互相伤害啊！,348630人评价,,完美陌生人,198,8.5
王家卫是一种风格，张国荣是一个代表。,310082人评价,,阿飞正传,199,8.5
一个单凭体香达到高潮的男人。,376223人评价,,香水,200,8.5
揭露人性的丧尸题材力作。,613363人评价,,釜山行,201,8.4
中国版《两杆大烟枪》。,478509人评价,,疯狂的石头,202,8.4
坚硬的信仰。,179427人评价,,可可西里,203,8.7
世界不完美，爱会有奇迹。,345654人评价,,奇迹男孩,204,8.6
弱者送给弱者的一刀。,157234人评价,,牯岭街少年杀人事件,205,8.8
黑小鸭速效美白记。,665213人评价,,初恋这件小事,206,8.4
谁说王家卫镜头很晃？,228193人评价,,谍影重重2,207,8.6
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,272036人评价,,谍影重重,208,8.6
做一颗让别人需要你的棋子。,234103人评价,,战争之王,209,8.6
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,341551人评价,,朗读者,210,8.5
世界离独裁只有五天。,179860人评价,,浪潮,211,8.7
天使保护事件始末。,127451人评价,,地球上的星星,212,8.9
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,317422人评价,,青蛇,213,8.5
少见的超越首部的续集，动作片中的经典。,208971人评价,,终结者2：审判日,214,8.7
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,176791人评价,,爱在午夜降临前,215,8.8
现代科幻电影的开山之作，最伟大导演的最伟大影片。,164330人评价,,2001太空漫游,216,8.8
要做就做得狠一点，这样才能活下去。,168288人评价,,新世界,217,8.7
嬉笑怒骂，调风动月。,272122人评价,,新龙门客栈,218,8.6
昆汀同学越来越变态了，比北野武还杜琪峰。,308065人评价,,无耻混蛋,219,8.5
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,536567人评价,,源代码,220,8.4
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,149101人评价,,步履不停,221,8.8
,49954人评价,,人生果实,222,9.6
天使暂时离开。,157381人评价,,绿里奇迹,223,8.8
宝莱坞的萝莉与大叔。,291024人评价,,小萝莉的猴神大叔,224,8.4
爱我就给我看你的播放列表。,258034人评价,,再次出发之纽约遇见你,225,8.5
诺兰的牛逼来源于内心散发出的恐惧。,113339人评价,,追随,226,8.9
只有有信仰的人才能说出事实真相。,174523人评价,,一次别离,227,8.7
每个美丽事物背后都是滴血的现实。,208779人评价,,血钻,228,8.6
小成本大魅力。,294342人评价,,彗星来的那一夜,229,8.5
永远的小人物，伟大的卓别林。,69174人评价,,城市之光,230,9.3
“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,314149人评价,,疯狂的麦克斯4：狂暴之路,231,8.6
不一样的导演，不一样的哈利·波特。,287047人评价,,哈利·波特与阿兹卡班的囚徒,232,8.5
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,77003人评价,,东京物语,233,9.2
魔法的密室之门已打开...,305813人评价,,哈利·波特与密室,234,8.5
天使与魔鬼的冲撞。,226377人评价,,撞车,235,8.6
新闻人的理性求真。,180279人评价,,聚焦,236,8.8
一场没有春天的噩梦。,149559人评价,,梦之安魂曲,237,8.7
我完全康复了。,252193人评价,,发条橙,238,8.5
用剩余不多的时间，去燃烧整个生命。,205455人评价,,遗愿清单,239,8.6
还原真实而残酷的战争。,178543人评价,,黑鹰坠落,240,8.6
生病的E.T.皮肤的颜色就像柿子饼。,220790人评价,,E.T. 外星人,241,8.6
过去的如果就让它过去了，未来只会越来越糟！,535934人评价,,驴得水,242,8.3
你要相信，这世上真的有爱存在，不管在什么年纪 ,89917人评价,,我爱你,243,9.0
没有了退路，只好飞向自由。,143662人评价,,末路狂花,244,8.7
科幻真正的魅力不是视觉效果能取代的。 ,253487人评价,,这个男人来自地球,245,8.5
,383858人评价,,色，戒,246,8.4
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,282759人评价,,变脸,247,8.5
一部能引人思考的科幻励志片。,139602人评价,,千钧一发,248,8.7
皇上无话儿。,450556人评价,,国王的演讲,249,8.4
最棒的西部片。,74829人评价,,黄金三镖客,250,9.1
